ID;PID;Game;Study;Game_group;Condition;Condition_params;Resolution;Framerate;Bitrate;VQ;VF;VU;VD;AC;Age;Gender;Expertise;Monitor
1;1;Game1;1;Game1_Game2_Game3;1;480_30_300;480;30;300;1,4;1,3;1,6;5,7;0;21;Male;4;Desktop
2;1;Game2;1;Game1_Game2_Game3;2;480_30_300;480;30;300;1,4;1,6;4,9;5,6;0;21;Male;4;Desktop
3;1;Game3;1;Game1_Game2_Game3;3;480_30_300;480;30;300;1,1;1,6;2,6;5,2;0;21;Male;4;Desktop
4;1;Game2;1;Game1_Game2_Game3;4;480_30_1000;480;30;1000;3,2;3,4;4,5;5,4;0;21;Male;4;Desktop
5;1;Game3;1;Game1_Game2_Game3;5;480_30_1000;480;30;1000;3,1;2,8;2,9;5,9;0;21;Male;4;Desktop
6;1;Game1;1;Game1_Game2_Game3;6;480_30_1000;480;30;1000;2,1;2,5;3,5;5,5;0;21;Male;4;Desktop
7;1;Game3;1;Game1_Game2_Game3;7;480_30_2000;480;30;2000;4;6;3;5,6;1;21;Male;4;Desktop
8;1;Game1;1;Game1_Game2_Game3;8;480_30_2000;480;30;2000;3,1;3,4;3,1;5,8;0;21;Male;4;Desktop
9;1;Game2;1;Game1_Game2_Game3;9;480_30_2000;480;30;2000;3,3;5,8;2,3;3,7;0;21;Male;4;Desktop
10;1;Game3;1;Game1_Game2_Game3;10;480_30_6000;480;30;6000;4,6;5,9;3,7;5,7;1;21;Male;4;Desktop
11;1;Game2;1;Game1_Game2_Game3;11;480_30_6000;480;30;6000;2,6;3,8;4,7;2,3;0;21;Male;4;Desktop
12;1;Game1;1;Game1_Game2_Game3;12;480_30_6000;480;30;6000;4;3,8;4,3;5,8;1;21;Male;4;Desktop
13;1;Game2;1;Game1_Game2_Game3;13;480_60_300;480;60;300;1,1;1,1;3,4;5,4;0;21;Male;4;Desktop
14;1;Game3;1;Game1_Game2_Game3;14;480_60_300;480;60;300;1,1;1,1;2,5;5,2;0;21;Male;4;Desktop
15;1;Game1;1;Game1_Game2_Game3;15;480_60_300;480;60;300;1,1;1,1;4,6;5,4;0;21;Male;4;Desktop
16;1;Game2;1;Game1_Game2_Game3;16;480_60_1000;480;60;1000;3,3;3,3;5,3;5,8;0;21;Male;4;Desktop
17;1;Game1;1;Game1_Game2_Game3;17;480_60_1000;480;60;1000;2,7;2,8;4,4;5,6;0;21;Male;4;Desktop
18;1;Game3;1;Game1_Game2_Game3;18;480_60_1000;480;60;1000;3,5;3,2;3,3;5,4;0;21;Male;4;Desktop
19;1;Game1;1;Game1_Game2_Game3;19;480_60_2000;480;60;2000;3;2,9;4,6;5,7;0;21;Male;4;Desktop
20;1;Game3;1;Game1_Game2_Game3;20;480_60_2000;480;60;2000;3,6;3,3;3,4;5,4;0;21;Male;4;Desktop
21;1;Game2;1;Game1_Game2_Game3;21;480_60_2000;480;60;2000;4,5;4,7;4,8;5,8;1;21;Male;4;Desktop
22;1;Game2;1;Game1_Game2_Game3;22;480_60_6000;480;60;6000;4,9;5,2;5,2;5,7;1;21;Male;4;Desktop
23;1;Game1;1;Game1_Game2_Game3;23;480_60_6000;480;60;6000;3,4;4,1;3,5;5,5;0;21;Male;4;Desktop
24;1;Game3;1;Game1_Game2_Game3;24;480_60_6000;480;60;6000;4,4;5,8;3,6;5,9;1;21;Male;4;Desktop
25;1;Game1;1;Game1_Game2_Game3;25;720_30_1000;720;30;1000;2;2,7;3,4;5,5;0;21;Male;4;Desktop
26;1;Game2;1;Game1_Game2_Game3;26;720_30_1000;720;30;1000;3,7;3,4;4,4;5,6;0;21;Male;4;Desktop
27;1;Game3;1;Game1_Game2_Game3;27;720_30_1000;720;30;1000;2,9;3;3,4;4,9;0;21;Male;4;Desktop
28;1;Game3;1;Game1_Game2_Game3;28;720_30_2000;720;30;2000;3,8;3,3;4,8;5,9;0;21;Male;4;Desktop
29;1;Game2;1;Game1_Game2_Game3;29;720_30_2000;720;30;2000;5;5,8;5,4;5,9;1;21;Male;4;Desktop
30;1;Game1;1;Game1_Game2_Game3;30;720_30_2000;720;30;2000;3,4;3,4;3,6;4,9;0;21;Male;4;Desktop
31;1;Game1;1;Game1_Game2_Game3;31;720_30_4000;720;30;4000;4,5;3,2;4,1;5,7;0;21;Male;4;Desktop
32;1;Game2;1;Game1_Game2_Game3;32;720_30_4000;720;30;4000;5,5;5,6;5,5;5,5;1;21;Male;4;Desktop
33;1;Game3;1;Game1_Game2_Game3;33;720_30_4000;720;30;4000;3,8;3,8;3,7;5,7;0;21;Male;4;Desktop
34;1;Game3;1;Game1_Game2_Game3;34;720_30_50000;720;30;50000;5,4;5,9;5,2;5,7;1;21;Male;4;Desktop
35;1;Game2;1;Game1_Game2_Game3;35;720_30_50000;720;30;50000;5,4;5,9;5,5;5,8;1;21;Male;4;Desktop
36;1;Game1;1;Game1_Game2_Game3;36;720_30_50000;720;30;50000;5,4;5,5;5,7;5,1;1;21;Male;4;Desktop
37;1;Game3;1;Game1_Game2_Game3;37;720_60_1000;720;60;1000;2,7;2,8;3,5;5,5;0;21;Male;4;Desktop
38;1;Game1;1;Game1_Game2_Game3;38;720_60_1000;720;60;1000;1,5;1,9;3,9;5,8;0;21;Male;4;Desktop
39;1;Game2;1;Game1_Game2_Game3;39;720_60_1000;720;60;1000;2,7;2,7;3,3;5,4;0;21;Male;4;Desktop
40;1;Game3;1;Game1_Game2_Game3;40;720_60_2000;720;60;2000;3,6;3,2;4,4;5,6;0;21;Male;4;Desktop
41;1;Game2;1;Game1_Game2_Game3;41;720_60_2000;720;60;2000;3,6;3,4;4,8;5,7;0;21;Male;4;Desktop
42;1;Game1;1;Game1_Game2_Game3;42;720_60_2000;720;60;2000;3;2,6;4,9;5,5;0;21;Male;4;Desktop
43;1;Game2;1;Game1_Game2_Game3;43;720_60_4000;720;60;4000;4,3;3,6;4,7;5,7;1;21;Male;4;Desktop
44;1;Game3;1;Game1_Game2_Game3;44;720_60_4000;720;60;4000;3,5;3,2;4,8;5,6;0;21;Male;4;Desktop
45;1;Game1;1;Game1_Game2_Game3;45;720_60_4000;720;60;4000;3,4;3,3;5,4;5,7;0;21;Male;4;Desktop
46;1;Game3;1;Game1_Game2_Game3;46;720_60_50000;720;60;50000;5,1;5,8;4;5,7;1;21;Male;4;Desktop
47;1;Game1;1;Game1_Game2_Game3;47;720_60_50000;720;60;50000;5,6;5,8;5,6;6;1;21;Male;4;Desktop
48;1;Game2;1;Game1_Game2_Game3;48;720_60_50000;720;60;50000;5,6;5,9;5,7;5,7;1;21;Male;4;Desktop
49;1;Game2;1;Game1_Game2_Game3;49;1080_30_2000;1080;30;2000;2,8;2,9;5,4;5,8;0;21;Male;4;Desktop
50;1;Game1;1;Game1_Game2_Game3;50;1080_30_2000;1080;30;2000;2,9;3;4,1;5,3;0;21;Male;4;Desktop
51;1;Game3;1;Game1_Game2_Game3;51;1080_30_2000;1080;30;2000;3,5;3,2;3,9;5,9;0;21;Male;4;Desktop
52;1;Game1;1;Game1_Game2_Game3;52;1080_30_4000;1080;30;4000;3,7;3,6;3,2;4,5;0;21;Male;4;Desktop
53;1;Game2;1;Game1_Game2_Game3;53;1080_30_4000;1080;30;4000;4,3;3,7;4,8;5,7;1;21;Male;4;Desktop
54;1;Game3;1;Game1_Game2_Game3;54;1080_30_4000;1080;30;4000;3,4;3,3;5,2;5,8;0;21;Male;4;Desktop
55;1;Game3;1;Game1_Game2_Game3;55;1080_30_6000;1080;30;6000;5,3;5,4;4,6;5,7;1;21;Male;4;Desktop
56;1;Game2;1;Game1_Game2_Game3;56;1080_30_6000;1080;30;6000;4,5;4,4;4,6;5,7;1;21;Male;4;Desktop
57;1;Game1;1;Game1_Game2_Game3;57;1080_30_6000;1080;30;6000;5,4;3,9;6,1;6,1;1;21;Male;4;Desktop
58;1;Game3;1;Game1_Game2_Game3;58;1080_30_50000;1080;30;50000;5,6;5,9;5,6;5,9;1;21;Male;4;Desktop
59;1;Game2;1;Game1_Game2_Game3;59;1080_30_50000;1080;30;50000;5,8;6;5,6;6;1;21;Male;4;Desktop
60;1;Game1;1;Game1_Game2_Game3;60;1080_30_50000;1080;30;50000;5,6;5,6;5,9;5,7;1;21;Male;4;Desktop
61;1;Game2;1;Game1_Game2_Game3;61;1080_60_2000;1080;60;2000;2,9;2;6;6;0;21;Male;4;Desktop
62;1;Game1;1;Game1_Game2_Game3;62;1080_60_2000;1080;60;2000;2,9;2,9;2,9;5,8;0;21;Male;4;Desktop
63;1;Game3;1;Game1_Game2_Game3;63;1080_60_2000;1080;60;2000;3,4;2,9;4,6;5,6;0;21;Male;4;Desktop
64;1;Game3;1;Game1_Game2_Game3;64;1080_60_4000;1080;60;4000;4,2;3,3;5,2;5,7;0;21;Male;4;Desktop
65;1;Game1;1;Game1_Game2_Game3;65;1080_60_4000;1080;60;4000;2;2,3;4,8;5,7;0;21;Male;4;Desktop
66;1;Game2;1;Game1_Game2_Game3;66;1080_60_4000;1080;60;4000;3,4;3,6;3,7;5,7;0;21;Male;4;Desktop
67;1;Game3;1;Game1_Game2_Game3;67;1080_60_6000;1080;60;6000;3,7;3,6;4,7;5,5;1;21;Male;4;Desktop
68;1;Game2;1;Game1_Game2_Game3;68;1080_60_6000;1080;60;6000;4,3;3,9;5;5,5;1;21;Male;4;Desktop
69;1;Game1;1;Game1_Game2_Game3;69;1080_60_6000;1080;60;6000;4,5;3,6;6;6;0;21;Male;4;Desktop
70;1;Game3;1;Game1_Game2_Game3;70;1080_60_50000;1080;60;50000;5,5;5,6;6,1;5,9;1;21;Male;4;Desktop
71;1;Game2;1;Game1_Game2_Game3;71;1080_60_50000;1080;60;50000;5,8;5,9;6;6;1;21;Male;4;Desktop
72;1;Game1;1;Game1_Game2_Game3;72;1080_60_50000;1080;60;50000;4,6;5,1;4,7;5,1;1;21;Male;4;Desktop
73;2;Game1;1;Game1_Game2_Game3;1;480_30_300;480;30;300;1,2;1,2;4,6;6,3;0;20;Female;1;Desktop
